iter	MultiClass
0	2.312508362
1	2.238946231
2	2.178333444
3	2.123778506
4	2.071422598
5	2.025553401
6	1.983635991
7	1.938748942
8	1.900479735
9	1.866767231
10	1.835274974
11	1.801905005
12	1.773826997
13	1.744454405
14	1.714039759
15	1.686937498
16	1.662264053
17	1.635934344
18	1.614616713
19	1.592911397
20	1.569003506
21	1.548977817
22	1.529180888
23	1.507983405
24	1.4898706
25	1.471779449
26	1.455328289
27	1.437672037
28	1.422664745
29	1.406166918
30	1.391600972
31	1.376285539
32	1.361459133
33	1.347565041
34	1.334597012
35	1.31984062
36	1.305036576
37	1.291733061
38	1.280380026
39	1.266084121
40	1.255547528
41	1.241857305
42	1.230077912
43	1.219914953
44	1.207060664
45	1.196645265
46	1.186353677
47	1.176156779
48	1.167118354
49	1.156128988
50	1.146149929
51	1.136065928
52	1.126496596
53	1.117406843
54	1.109945545
55	1.099610858
56	1.091107013
57	1.081954948
58	1.072962716
59	1.065352097
60	1.056604323
61	1.049516509
62	1.043344248
63	1.036360504
64	1.028043895
65	1.019507312
66	1.013094798
67	1.006059546
68	0.9982888204
69	0.9917206423
70	0.9856523984
71	0.9788864006
72	0.9736641582
73	0.9679219997
74	0.960155193
75	0.9533674759
76	0.9479506302
77	0.9407507724
78	0.9356110972
79	0.9292018199
80	0.9235903887
81	0.9177788167
82	0.9119766469
83	0.9064084699
84	0.899393394
85	0.8936353168
86	0.887761988
87	0.8825891402
88	0.8774951894
89	0.8727244129
90	0.8680866506
91	0.8632680759
92	0.8582406689
93	0.85394124
94	0.849986361
95	0.843870064
96	0.8388453516
97	0.8341303645
98	0.8301430375
99	0.8260793601
100	0.8215872321
101	0.8175354908
102	0.8139673097
103	0.8097708733
104	0.8045889384
105	0.8012114896
106	0.7972981039
107	0.7924468607
108	0.787531571
109	0.7838672712
110	0.7798964542
111	0.7760096734
112	0.7726191561
113	0.7690745858
114	0.7647650774
115	0.760936166
116	0.7573186411
117	0.7531556219
118	0.7490632722
119	0.746445964
120	0.7432247803
121	0.7399808787
122	0.7356573031
123	0.7321896274
124	0.7284681976
125	0.7248883178
126	0.7213863058
127	0.7181258958
128	0.7152770655
129	0.7125413169
130	0.7096234488
131	0.7066247374
132	0.7037764656
133	0.7005091047
134	0.6971012407
135	0.6946458997
136	0.6917973949
137	0.6880711327
138	0.685278587
139	0.682224641
140	0.679604301
141	0.677163142
142	0.673938726
143	0.6710284184
144	0.6676518388
145	0.6650485669
146	0.6620461681
147	0.6593838974
148	0.6563607282
149	0.6540360251
150	0.6508578146
151	0.6480552959
152	0.6452211027
153	0.6424928012
154	0.640309207
155	0.6378684888
156	0.6357237902
157	0.6332305037
158	0.6309335339
159	0.6287734104
160	0.6262577362
161	0.6245668773
162	0.6222423548
163	0.6201740434
164	0.6176522433
165	0.6158644852
166	0.6134466021
167	0.6109474018
168	0.6086343769
169	0.6067851473
170	0.6049155118
171	0.6026480338
172	0.6005374712
173	0.598284753
174	0.5961423331
175	0.5937727497
176	0.5916074421
177	0.5896747655
178	0.5876983253
179	0.586007262
180	0.5841033472
181	0.5823236575
182	0.5803716886
183	0.5782437109
184	0.5765728087
185	0.5745057215
186	0.5731031519
187	0.5711712485
188	0.5695089879
189	0.5675135875
190	0.5657469668
191	0.5637805628
192	0.5620302154
193	0.5601418841
194	0.558146961
195	0.5563800825
196	0.5545708554
197	0.5528791892
198	0.551306864
199	0.5495147772
200	0.5479509559
201	0.5462115906
202	0.5444920773
203	0.5426748928
204	0.54113918
205	0.5394352678
206	0.5380047586
207	0.5363902637
208	0.5348029172
209	0.5334980769
210	0.5319442675
211	0.5306059044
212	0.5289878822
213	0.5273606679
214	0.5259166829
215	0.5242117344
216	0.5226936647
217	0.5213751197
218	0.5199399827
219	0.5186488113
220	0.5172002487
221	0.5157766556
222	0.5141796477
223	0.5129297558
224	0.5113687185
225	0.5101179101
226	0.5086860524
227	0.5073161852
228	0.5063302883
229	0.5050208193
230	0.5036528476
231	0.5024612456
232	0.5010679682
233	0.4998427712
234	0.4986737409
235	0.4974448688
236	0.4966932988
237	0.4956250275
238	0.4943542242
239	0.4931198393
240	0.4921070443
241	0.4914007711
242	0.4901657353
243	0.4889578716
244	0.4879251428
245	0.4868213598
246	0.4856963037
247	0.4845966203
248	0.4834712715
249	0.4824204111
250	0.4813261635
251	0.480285492
252	0.4792781633
253	0.4782340594
254	0.4770826121
255	0.476228473
256	0.4752991564
257	0.4740593118
258	0.4731607093
259	0.4722287004
260	0.4712030814
261	0.4702372525
262	0.4691253104
263	0.4680690126
264	0.4669119793
265	0.4661952423
266	0.4651165982
267	0.464219688
268	0.4631899109
269	0.4624863157
270	0.4614693543
271	0.4606305657
272	0.4596400805
273	0.4587366125
274	0.4580664187
275	0.4571717235
276	0.4562044153
277	0.4553044195
278	0.4543489849
279	0.4534831755
280	0.4528299091
281	0.4519504803
282	0.4511007539
283	0.4502539274
284	0.4494212275
285	0.4485822892
286	0.4476499718
287	0.4467744484
288	0.4458573509
289	0.4450480958
290	0.4442659066
291	0.4432951507
292	0.4424529531
293	0.4415575506
294	0.4407810653
295	0.4399802164
296	0.4390821059
297	0.4383422867
298	0.4374981804
299	0.4368489082
300	0.4360283414
301	0.4352029723
302	0.4344684987
303	0.4337478913
304	0.4330335991
305	0.4323407607
306	0.4315795258
307	0.4308788919
308	0.4300975987
309	0.4293470318
310	0.4286692988
311	0.4280750446
312	0.4272391742
313	0.4265596878
314	0.4259783849
315	0.4252750896
316	0.424516383
317	0.4238514562
318	0.4231927999
319	0.4224444321
320	0.4218122808
321	0.4211601789
322	0.4207166145
323	0.4200219937
324	0.4193979915
325	0.4186727021
326	0.4180495674
327	0.4173965292
328	0.4167593179
329	0.4160820257
330	0.4153655232
331	0.4147479547
332	0.4141367446
333	0.4135258968
334	0.4129040784
335	0.4123836868
336	0.4117823782
337	0.411158625
338	0.4104824737
339	0.409928089
340	0.4093212129
341	0.408721082
342	0.4082338654
343	0.4076879626
344	0.4070915345
345	0.4065260139
346	0.4059312495
347	0.4054174917
348	0.4047823209
349	0.4042116416
350	0.4036672305
351	0.4031333824
352	0.4025372205
353	0.4020107937
354	0.4013067255
355	0.4006852297
356	0.4001885674
357	0.3995978351
358	0.3990881173
359	0.3985686365
360	0.3980369922
361	0.3974979311
362	0.3969669506
363	0.3964839375
364	0.396002184
365	0.3954971403
366	0.3950297899
367	0.3943692517
368	0.3938636136
369	0.3933263598
370	0.3928984821
371	0.3922802324
372	0.3917797866
373	0.3913246597
374	0.3908368996
375	0.3903971523
376	0.38984629
377	0.3893134615
378	0.3888820851
379	0.3884768873
380	0.3878921632
381	0.3873411703
382	0.3868830998
383	0.3863123977
384	0.3859596613
385	0.3854686078
386	0.3849984377
387	0.3845376613
388	0.3840921494
389	0.3836235643
390	0.3832572891
391	0.382833797
392	0.3824096968
393	0.3819033759
394	0.3814939219
395	0.3811041788
396	0.3806218555
397	0.3802263948
398	0.3797599215
399	0.3793074622
400	0.3788671847
401	0.3784064671
402	0.3779509493
403	0.3775538949
404	0.3770960878
405	0.376695785
406	0.3762883823
407	0.3758704523
408	0.3754553485
409	0.3750320504
410	0.3746006697
411	0.374130313
412	0.3737336146
413	0.3732625262
414	0.3729267701
415	0.3724340418
416	0.3719857999
417	0.3715310541
418	0.3711355501
419	0.370830755
420	0.3704711714
421	0.3700363018
422	0.3696854857
423	0.3693000517
424	0.3689527891
425	0.3685160593
426	0.3682599137
427	0.3679172462
428	0.3675069882
429	0.3672085336
430	0.3667956513
431	0.366544326
432	0.3662755746
433	0.3659709832
434	0.3656137235
435	0.365201203
436	0.3648383933
437	0.3644465484
438	0.3640152592
439	0.3636154568
440	0.3632686332
441	0.3628636648
442	0.3625321675
443	0.3620559246
444	0.3617857439
445	0.3613789271
446	0.361075913
447	0.3608003096
448	0.3604063561
449	0.3600821734
450	0.3596774465
451	0.3593190252
452	0.3589917332
453	0.3586832127
454	0.3583448257
455	0.3579292087
456	0.3576742472
457	0.3573672435
458	0.3570588216
459	0.3567711459
460	0.3564141194
461	0.3562023398
462	0.3558133903
463	0.3555197173
464	0.355247144
465	0.354875507
466	0.3545422075
467	0.3542089173
468	0.3538314614
469	0.3534315001
470	0.3531413003
471	0.3529044178
472	0.3525571121
473	0.35220889
474	0.351928197
475	0.3516597405
476	0.3513622031
477	0.3510508942
478	0.3507109467
479	0.3504151606
480	0.3501400292
481	0.3498681668
482	0.3495887544
483	0.3492514796
484	0.3489380595
485	0.3486122086
486	0.3483405394
487	0.3480540761
488	0.3477612202
489	0.347478862
490	0.3471954871
491	0.3469032133
492	0.3466344565
493	0.3463790977
494	0.3460321379
495	0.345768537
496	0.3454535801
497	0.3451734348
498	0.3448367661
499	0.3445789573
